language,sent_index,baseline,ic_metric,ic_objective,length,real_dl,real_ic,delta_used,n_dl_matched,p_good,frac_lt,frac_eq,frac_gt,matched_ic_mean,matched_ic_median,diff_real_minus_matched_mean
Hindi,34,projective_like,content,max,12,32,10.0,0,197,0.5431472081218274,0.5431472081218274,0.18781725888324874,0.26903553299492383,9.558375634517766,9.0,0.4416243654822338
Hindi,35,projective_like,content,max,12,28,13.0,0,346,0.9190751445086706,0.9190751445086706,0.06358381502890173,0.017341040462427744,11.294797687861271,11.0,1.705202312138729
Hindi,36,projective_like,content,max,12,20,6.0,0,82,0.5,0.5,0.12195121951219512,0.3780487804878049,6.146341463414634,5.5,-0.14634146341463428
Hindi,38,projective_like,content,max,12,20,5.0,0,154,0.35064935064935066,0.35064935064935066,0.551948051948052,0.09740259740259741,4.707792207792208,5.0,0.29220779220779214
Hindi,39,projective_like,content,max,12,20,8.0,0,223,0.30493273542600896,0.30493273542600896,0.6367713004484304,0.05829596412556054,7.690582959641255,8.0,0.3094170403587446
Hindi,42,projective_like,content,max,12,19,4.0,0,129,0.15503875968992248,0.15503875968992248,0.4418604651162791,0.40310077519379844,4.348837209302325,4.0,-0.3488372093023253
Hindi,44,projective_like,content,max,12,18,4.0,1,170,0.6588235294117647,0.6588235294117647,0.3,0.041176470588235294,3.2058823529411766,3.0,0.7941176470588234
Hindi,46,projective_like,content,max,12,32,11.0,0,265,0.7811320754716982,0.7811320754716982,0.2188679245283019,0.0,9.969811320754717,10.0,1.030188679245283
Hindi,47,projective_like,content,max,12,38,22.0,0,188,0.32978723404255317,0.32978723404255317,0.425531914893617,0.24468085106382978,21.861702127659573,22.0,0.13829787234042712
Hindi,48,projective_like,content,max,12,19,6.0,0,130,0.15384615384615385,0.15384615384615385,0.2923076923076923,0.5538461538461539,6.530769230769231,7.0,-0.5307692307692307
Japanese,0,projective_like,content,max,12,12,1.0,5,112,0.0,0.0,0.125,0.875,3.330357142857143,3.0,-2.330357142857143
Japanese,1,projective_like,content,max,12,28,16.0,0,459,0.9934640522875817,0.9934640522875817,0.006535947712418301,0.0,11.797385620915033,12.0,4.202614379084967
Japanese,2,projective_like,content,max,12,39,16.0,1,296,0.030405405405405407,0.030405405405405407,0.010135135135135136,0.9594594594594594,21.83445945945946,22.0,-5.83445945945946
Japanese,3,projective_like,content,max,12,19,5.0,0,90,0.022222222222222223,0.022222222222222223,0.5555555555555556,0.4222222222222222,5.4,5.0,-0.40000000000000036
Japanese,4,projective_like,content,max,12,16,3.0,1,100,0.0,0.0,0.48,0.52,3.77,4.0,-0.77
Japanese,5,projective_like,content,max,12,21,6.0,0,176,0.18181818181818182,0.18181818181818182,0.5,0.3181818181818182,6.130681818181818,6.0,-0.13068181818181834
Japanese,6,projective_like,content,max,12,33,14.0,0,226,0.7964601769911505,0.7964601769911505,0.14601769911504425,0.05752212389380531,12.278761061946902,12.0,1.721238938053098
Japanese,7,projective_like,content,max,12,18,4.0,1,206,0.5970873786407767,0.5970873786407767,0.3786407766990291,0.024271844660194174,3.3349514563106797,3.0,0.6650485436893203
Japanese,8,projective_like,content,max,12,13,2.0,4,81,0.0,0.0,0.37037037037037035,0.6296296296296297,3.0617283950617282,3.0,-1.0617283950617282
Japanese,9,projective_like,content,max,12,17,4.0,0,96,0.5,0.5,0.5,0.0,3.5,3.5,0.5
Japanese,10,projective_like,content,max,12,17,3.0,0,99,0.40404040404040403,0.40404040404040403,0.5454545454545454,0.050505050505050504,2.6464646464646466,3.0,0.35353535353535337
Japanese,12,projective_like,content,max,12,16,2.0,2,156,0.0,0.0,0.10256410256410256,0.8974358974358975,3.41025641025641,3.0,-1.4102564102564101
Japanese,13,projective_like,content,max,12,24,7.0,0,226,0.0752212389380531,0.0752212389380531,0.3230088495575221,0.6017699115044248,7.721238938053097,8.0,-0.721238938053097
Japanese,14,projective_like,content,max,12,19,5.0,1,184,0.20108695652173914,0.20108695652173914,0.4076086956521739,0.391304347826087,5.233695652173913,5.0,-0.23369565217391308
Japanese,15,projective_like,content,max,12,15,2.0,1,98,0.16326530612244897,0.16326530612244897,0.37755102040816324,0.45918367346938777,2.295918367346939,2.0,-0.295918367346939
Japanese,17,projective_like,content,max,12,17,3.0,1,149,0.020134228187919462,0.020134228187919462,0.3624161073825503,0.6174496644295302,3.61744966442953,4.0,-0.6174496644295302
Japanese,18,projective_like,content,max,12,16,3.0,1,214,0.21495327102803738,0.21495327102803738,0.5093457943925234,0.2757009345794392,3.060747663551402,3.0,-0.06074766355140193
Japanese,19,projective_like,content,max,12,20,6.0,0,152,0.7302631578947368,0.7302631578947368,0.26973684210526316,0.0,4.2894736842105265,4.0,1.7105263157894735
Japanese,21,projective_like,content,max,12,14,2.0,3,146,0.0,0.0,0.07534246575342465,0.9246575342465754,3.595890410958904,4.0,-1.595890410958904
Japanese,22,projective_like,content,max,12,33,20.0,0,911,0.7420417124039517,0.7420417124039517,0.19758507135016465,0.06037321624588365,18.498353457738748,19.0,1.501646542261252
Japanese,23,projective_like,content,max,12,19,4.0,0,143,0.03496503496503497,0.03496503496503497,0.6853146853146853,0.27972027972027974,4.244755244755245,4.0,-0.24475524475524502
Japanese,24,projective_like,content,max,12,21,4.0,0,308,0.9318181818181818,0.9318181818181818,0.06818181818181818,0.0,2.188311688311688,2.0,1.8116883116883118
Japanese,26,projective_like,content,max,12,23,8.0,0,216,0.3611111111111111,0.3611111111111111,0.4212962962962963,0.2175925925925926,7.787037037037037,8.0,0.2129629629629628
Japanese,27,projective_like,content,max,12,19,5.0,0,147,0.11564625850340136,0.11564625850340136,0.5102040816326531,0.3741496598639456,5.285714285714286,5.0,-0.2857142857142856
Japanese,29,projective_like,content,max,12,17,4.0,1,135,0.6296296296296297,0.6296296296296297,0.3037037037037037,0.06666666666666667,3.303703703703704,3.0,0.6962962962962962
Japanese,30,projective_like,content,max,12,14,2.0,3,125,0.0,0.0,0.304,0.696,2.784,3.0,-0.7839999999999998
Japanese,31,projective_like,content,max,12,16,3.0,1,116,0.07758620689655173,0.07758620689655173,0.3448275862068966,0.5775862068965517,3.6724137931034484,4.0,-0.6724137931034484
Japanese,33,projective_like,content,max,12,17,4.0,0,120,0.5916666666666667,0.5916666666666667,0.4083333333333333,0.0,2.9833333333333334,3.0,1.0166666666666666
Japanese,34,projective_like,content,max,12,15,2.0,1,93,0.12903225806451613,0.12903225806451613,0.45161290322580644,0.41935483870967744,2.2903225806451615,2.0,-0.2903225806451615
Japanese,36,projective_like,content,max,12,20,6.0,0,215,0.6372093023255814,0.6372093023255814,0.26046511627906976,0.10232558139534884,5.083720930232558,5.0,0.9162790697674419
Japanese,37,projective_like,content,max,12,15,3.0,2,147,0.1292517006802721,0.1292517006802721,0.42857142857142855,0.4421768707482993,3.380952380952381,3.0,-0.38095238095238093
Japanese,38,projective_like,content,max,12,25,8.0,0,349,0.19484240687679083,0.19484240687679083,0.16045845272206305,0.6446991404011462,9.177650429799426,9.0,-1.1776504297994261
Japanese,39,projective_like,content,max,12,14,2.0,2,81,0.0,0.0,0.3333333333333333,0.6666666666666666,2.814814814814815,3.0,-0.8148148148148149
Japanese,40,projective_like,content,max,12,17,4.0,0,80,0.575,0.575,0.3125,0.1125,3.2875,3.0,0.7124999999999999
Japanese,41,projective_like,content,max,12,28,8.0,0,218,0.01834862385321101,0.01834862385321101,0.09174311926605505,0.8899082568807339,9.490825688073395,10.0,-1.4908256880733948
Japanese,42,projective_like,content,max,12,16,3.0,1,146,0.06164383561643835,0.06164383561643835,0.5547945205479452,0.3835616438356164,3.3698630136986303,3.0,-0.3698630136986303
Japanese,44,projective_like,content,max,12,33,18.0,0,361,0.628808864265928,0.628808864265928,0.29362880886426596,0.07756232686980609,17.09695290858726,17.0,0.9030470914127413
Japanese,46,projective_like,content,max,12,16,3.0,2,151,0.152317880794702,0.152317880794702,0.2119205298013245,0.6357615894039735,4.046357615894039,4.0,-1.0463576158940393
Japanese,47,projective_like,content,max,12,17,2.0,1,155,0.4129032258064516,0.4129032258064516,0.5870967741935483,0.0,1.5870967741935484,2.0,0.41290322580645156
Japanese,48,projective_like,content,max,12,26,11.0,0,237,0.6118143459915611,0.6118143459915611,0.2869198312236287,0.10126582278481013,10.092827004219409,10.0,0.9071729957805914
Japanese,49,projective_like,content,max,12,11,0.0,6,84,0.0,0.0,0.08333333333333333,0.9166666666666666,1.5595238095238095,2.0,-1.5595238095238095
